□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20200101 ~ 20201231,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 도로명주소,,,,,,,,,,,
시도 : 부산광역시,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,
도로명 : 전체,,,,,,,,,,,
면적 : 102㎡초과~135㎡이하,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,125.79,202002,1,"36,000",13,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,126.77,202002,13,"39,250",14,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,126.77,202002,13,"37,000",6,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,126.77,202002,18,"32,000",2,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,126.77,202004,11,"37,800",6,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,125.79,202006,16,"33,700",4,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,125.79,202007,1,"35,500",11,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,126.77,202008,19,"38,500",7,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,125.79,202008,22,"36,700",5,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,125.79,202008,29,"42,000",7,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,125.79,202010,24,"42,000",15,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,126.77,202010,29,"37,500",10,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,125.79,202011,16,"44,000",1,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,125.79,202011,17,"48,000",13,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,126.77,202011,24,"50,000",12,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,125.79,202012,7,"45,000",4,2008,명지오션시티11로 84
부산광역시 강서구 명지동,Mar-99,3599,3,명지국제신도시삼정그린코아더베스트,114.149,202001,20,"59,700",16,2019,명지국제3로 97
부산광역시 강서구 명지동,Mar-99,3599,3,명지국제신도시삼정그린코아더베스트,112.6767,202005,19,"58,500",20,2019,명지국제3로 97
부산광역시 강서구 명지동,Mar-99,3599,3,명지국제신도시삼정그린코아더베스트,112.6767,202006,9,"65,000",30,2019,명지국제3로 97
부산광역시 강서구 명지동,Mar-99,3599,3,명지국제신도시삼정그린코아더베스트,114.149,202006,11,"57,000",18,2019,명지국제3로 97
부산광역시 강서구 명지동,Mar-99,3599,3,명지국제신도시삼정그린코아더베스트,112.6767,202008,4,"58,000",15,2019,명지국제3로 97
부산광역시 강서구 명지동,Mar-99,3599,3,명지국제신도시삼정그린코아더베스트,114.149,202011,14,"85,000",26,2019,명지국제3로 97
부산광역시 강서구 명지동,3234,3234,0,명지두산위브포세이돈,127.7941,202004,3,"45,000",11,2013,명지오션시티11로 22
